slug,title,section,pillar,target_keyword,cpc_tier,priority,status
what-is-a-credit-score-uk,What Is a Credit Score UK,credit,Credit & Debt,what is a credit score UK,high,1,pending
credit-score-ranges-uk,Credit Score Ranges UK,credit,Credit & Debt,credit score ranges UK,high,1,generated
what-affects-credit-score-uk,What Affects Your Credit Score UK,credit,Credit & Debt,what affects credit score UK,high,1,pending
how-to-increase-credit-score-uk,How to Increase Your Credit Score UK,credit,Credit & Debt,how to increase credit score UK,high,1,generated
how-mortgages-work-uk,How Mortgages Work UK,mortgages,Mortgages,how mortgages work UK,high,1,pending
mortgage-affordability-calculator-uk,Mortgage Affordability Calculator UK,mortgages,Mortgages,mortgage affordability UK,high,1,pending
fixed-vs-tracker-mortgage-uk,Fixed vs Tracker Mortgage UK,mortgages,Mortgages,fixed vs tracker mortgage UK,high,1,generated
income-tax-bands-uk-explained,Income Tax Bands UK Explained,taxes,Taxes & Government Payments,income tax bands UK explained,medium,1,pending
national-insurance-explained,National Insurance Explained UK,taxes,Taxes & Government Payments,national insurance explained,medium,1,pending
council-tax-bands-uk,Council Tax Bands UK Explained,taxes,Taxes & Government Payments,council tax bands UK,medium,1,generated
average-electricity-bill-uk,Average Electricity Bill UK,bills,Household Bills,average electricity bill UK,medium,1,generated
average-gas-bill-uk,Average Gas Bill UK,bills,Household Bills,average gas bill UK,medium,1,pending
average-water-bill-uk,Average Water Bill UK,bills,Household Bills,average water bill UK,medium,1,generated
what-is-apr-interest-rate,What Is APR Interest Rate Explained,loans,Loans & Borrowing,what is APR interest rate,high,1,pending
what-is-compound-interest,What Is Compound Interest Explained UK,loans,Loans & Borrowing,what is compound interest,medium,1,pending
what-is-inflation-uk,What Is Inflation UK Explained,taxes,Taxes & Government Payments,what is inflation UK,medium,1,pending
how-credit-scores-work-uk,How Credit Scores Work UK,credit,Credit & Debt,how credit scores work UK,high,2,pending
credit-score-600-uk-mortgage,Credit Score 600 UK Mortgage,credit,Credit & Debt,credit score 600 UK mortgage,high,2,pending
debt-consolidation-explained-uk,Debt Consolidation Explained UK,debt,Credit & Debt,debt consolidation explained UK,high,2,pending
personal-loans-explained-uk,Personal Loans Explained UK,loans,Loans & Borrowing,personal loans explained UK,high,2,pending
secured-vs-unsecured-loans-uk,Secured vs Unsecured Loans UK,loans,Loans & Borrowing,secured vs unsecured loans UK,high,2,pending
payday-loans-explained-uk,Payday Loans Explained UK,loans,Loans & Borrowing,payday loans explained UK,medium,2,pending
loan-repayment-calculator-uk,Loan Repayment Calculator UK,loans,Loans & Borrowing,loan repayment calculator UK,high,2,pending
first-time-buyer-mortgage-uk,First-Time Buyer Mortgage UK,mortgages,Mortgages,first-time buyer mortgage UK,high,2,pending
fixed-vs-variable-mortgage-uk,Fixed vs Variable Mortgage UK,mortgages,Mortgages,fixed vs variable mortgage UK,high,2,pending
stamp-duty-explained-uk,Stamp Duty Explained UK,taxes,Taxes & Government Payments,stamp duty explained,high,2,pending
how-to-reduce-electricity-bill-uk,How to Reduce Electricity Bill UK,bills,Household Bills,how to reduce electricity bill UK,medium,2,pending
broadband-cost-uk,Average Broadband Cost UK,bills,Household Bills,broadband cost UK,medium,2,pending
apr-interest-rate-explained-uk,APR Interest Rate Explained UK,loans,Loans & Borrowing,APR interest rate explained UK,high,2,pending
mortgage-affordability-uk,Mortgage Affordability Explained UK,mortgages,Mortgages,mortgage affordability UK,high,2,pending
